Table,Year,Month,Week,Year_Week,Year_Month,Row_Title,Full_Title,Title_Core,Title_Type,Value,Title_Type Tagging
Table253,2019,4,14,2019_14,2019_04,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,101.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,14.9,By Brand
Table253,2019,4,14,2019_14,2019_04,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,14,2019_14,2019_04,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,14,2019_14,2019_04,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,62.4,By Brand
Table253,2019,4,14,2019_14,2019_04,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,14,2019_14,2019_04,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.9,By Brand
Table253,2019,4,14,2019_14,2019_04,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,12.9,By Brand
Table253,2019,4,14,2019_14,2019_04,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,9.9,By Brand
Table253,2019,4,14,2019_14,2019_04,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,14,2019_14,2019_04,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,14,2019_14,2019_04,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.01,By Brand
Table253,2019,4,14,2019_14,2019_04,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.84,By Brand
Table253,2019,4,14,2019_14,2019_04,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.28,By Brand
Table253,2019,4,15,2019_15,2019_04,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,6.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,11.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,15,2019_15,2019_04,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,74.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,12.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,15,2019_15,2019_04,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.47,By Brand
Table253,2019,4,15,2019_15,2019_04,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.6,By Brand
Table253,2019,4,15,2019_15,2019_04,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.26,By Brand
Table253,2019,4,16,2019_16,2019_04,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,14.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.0,By Brand
Table253,2019,4,16,2019_16,2019_04,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
