country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JP,Japan,Overall,,,,,15-02-2020,-1,4,7,1,4,0
JP,Japan,Overall,,,,,16-02-2020,-9,-6,-35,-10,-2,2
JP,Japan,Overall,,,,,17-02-2020,-2,1,-5,-1,0,1
JP,Japan,Overall,,,,,18-02-2020,1,2,1,-2,0,1
JP,Japan,Overall,,,,,19-02-2020,0,2,8,-3,0,0
JP,Japan,Overall,,,,,20-02-2020,1,4,4,-3,0,0
JP,Japan,Overall,,,,,21-02-2020,-1,2,7,-2,0,1
JP,Japan,Overall,,,,,22-02-2020,-5,1,-10,-3,-1,2
JP,Japan,Overall,,,,,23-02-2020,1,3,16,2,0,0
JP,Japan,Overall,,,,,24-02-2020,18,4,54,-27,-55,14
JP,Japan,Overall,,,,,25-02-2020,0,7,0,-2,1,1
JP,Japan,Overall,,,,,26-02-2020,-4,3,-5,-5,1,1
JP,Japan,Overall,,,,,27-02-2020,-3,6,-4,-7,0,1
JP,Japan,Overall,,,,,28-02-2020,-2,14,-4,-10,1,2
JP,Japan,Overall,,,,,29-02-2020,-10,9,-22,-21,3,4
JP,Japan,Overall,,,,,01-03-2020,-10,9,-1,-23,1,4
JP,Japan,Overall,,,,,02-03-2020,-10,3,-15,-15,-2,4
JP,Japan,Overall,,,,,03-03-2020,-2,9,11,-15,-2,4
JP,Japan,Overall,,,,,04-03-2020,-12,-2,-21,-19,-4,5
JP,Japan,Overall,,,,,05-03-2020,-9,3,-8,-18,-4,4
JP,Japan,Overall,,,,,06-03-2020,-9,2,5,-18,-4,5
JP,Japan,Overall,,,,,07-03-2020,-12,2,-8,-24,-4,5
JP,Japan,Overall,,,,,08-03-2020,-17,-4,-35,-31,-5,6
JP,Japan,Overall,,,,,09-03-2020,-7,2,11,-15,-3,4
JP,Japan,Overall,,,,,10-03-2020,-9,-3,-28,-18,-5,6
JP,Japan,Overall,,,,,11-03-2020,-3,4,13,-16,-4,3
JP,Japan,Overall,,,,,12-03-2020,-3,5,16,-15,-4,3
JP,Japan,Overall,,,,,13-03-2020,-5,3,10,-17,-4,5
JP,Japan,Overall,,,,,14-03-2020,-14,-4,-39,-27,-7,7
