Week,Gold Price ,Green Price
18/01/2016,,
25/01/2016,,
01/02/2016,,
08/02/2016,,
15/02/2016,,
22/02/2016,,
29/02/2016,,
07/03/2016,,
14/03/2016,,
21/03/2016,,
28/03/2016,,
04/04/2016,,
11/04/2016,,
18/04/2016,,
25/04/2016,,
02/05/2016,,
09/05/2016,,
16/05/2016,,
23/05/2016,,
30/05/2016,,
06/06/2016,,
13/06/2016,,
20/06/2016,,
27/06/2016,,
04/07/2016,,
11/07/2016,,
18/07/2016,,
25/07/2016,,
01/08/2016,,
08/08/2016,,
15/08/2016,,
22/08/2016,,
29/08/2016,,
05/09/2016,,
12/09/2016,,
19/09/2016,,
26/09/2016,,
03/10/2016,,
10/10/2016,,
17/10/2016,,
24/10/2016,,
31/10/2016,,
07/11/2016,,
14/11/2016,,
21/11/2016,,
28/11/2016,,
05/12/2016,,
12/12/2016,,
19/12/2016,,
26/12/2016,,
02/01/2017,,
09/01/2017,,
16/01/2017,,
23/01/2017,,
30/01/2017,,
06/02/2017,,
13/02/2017,,
20/02/2017,,
27/02/2017,,
06/03/2017,,
13/03/2017,,
20/03/2017,,
27/03/2017,,
03/04/2017,,
10/04/2017,,
17/04/2017,10015.5,
24/04/2017,10015.5,
01/05/2017,9704.27,
08/05/2017,9319.11,6028.13
15/05/2017,9325.52,6028.13
22/05/2017,8434.61,6369.04
29/05/2017,9405.81,6566.96
05/06/2017,9442.87,6289.18
12/06/2017,9019.66,6339.84
19/06/2017,8696.33,6289.18
26/06/2017,9982.75,6288.55
03/07/2017,9982.75,6288.55
10/07/2017,8990.83,6351.68
17/07/2017,9218.1,6351.68
24/07/2017,9305.06,5409.44
31/07/2017,9427.19,5897.13
07/08/2017,9307.97,5950.73
14/08/2017,9307.97,5950.73
21/08/2017,9889.79,5647.7
28/08/2017,9889.79,5647.7
04/09/2017,8869.38,6102.24
11/09/2017,8426.16,6253.76
18/09/2017,8611.54,6268.35
25/09/2017,9429.47,5897.13
02/10/2017,9305.06,5897.13
09/10/2017,9316.08,6060.01
16/10/2017,9427.19,6124.41
23/10/2017,9889.57,6379.96
30/10/2017,,6607.24
06/11/2017,,6379.96
13/11/2017,,5824.41
20/11/2017,,5824.41
27/11/2017,,5824.41
04/12/2017,,5824.41
11/12/2017,,
18/12/2017,,
25/12/2017,,
01/01/2018,,
08/01/2018,,
15/01/2018,,
22/01/2018,,
29/01/2018,,
05/02/2018,,
12/02/2018,,
19/02/2018,,
26/02/2018,,
05/03/2018,,
12/03/2018,,
19/03/2018,,
26/03/2018,,
02/04/2018,,
09/04/2018,,
16/04/2018,8856.78,
23/04/2018,8856.78,
30/04/2018,8856.78,
07/05/2018,9094.35,
14/05/2018,8660.26,6168.26
21/05/2018,8785.86,5907.84
28/05/2018,8734.23,5776.26
04/06/2018,9265.17,6048.52
11/06/2018,8887.53,6048.52
18/06/2018,9323.9,6048.52
