Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
27/03/2017,Lotte Mart,0,0
27/03/2017,Lotte super,0,0
27/03/2017,Homeplus,0,0
27/03/2017,AK Plaza,0,0
27/03/2017,GS Retail,0,0
27/03/2017,Lotte Department,0,0
27/03/2017,GS25,0,0
27/03/2017,Emart everyday,0,0
27/03/2017,CS Distribution,0,0
27/03/2017,Eland,0,0
27/03/2017,Emart,0,0
27/03/2017,Emart traders,0,0
27/03/2017,Homeplus Express,0,0
27/03/2017,Mega Mart,0,0
27/03/2017,Costco Korea,0,0
27/03/2017,VIC Market,0,0
27/03/2017,Hyundae Department,0,0
27/03/2017,Market 999,0,0
27/03/2017,Homeplus 365,0,0
27/03/2017,Emart24,0,0
27/03/2017,Mini Stop,0,0
27/03/2017,No Brand,0,0
27/03/2017,CU,0,0
27/03/2017,Shinsegae Department,0,0
27/03/2017,Sampling ,0,0
27/03/2017,Loss,0,0
27/03/2017,Wholesale,0,0
27/03/2017,E-commerce,0,0
27/03/2017,Retail,0,0
03/04/2017,Lotte Mart,0,0
03/04/2017,Lotte super,0,0
03/04/2017,Homeplus,0,0
03/04/2017,AK Plaza,0,0
03/04/2017,GS Retail,0,0
03/04/2017,Lotte Department,0,0
03/04/2017,GS25,0,0
03/04/2017,Emart everyday,0,0
03/04/2017,CS Distribution,0,0
03/04/2017,Eland,0,0
03/04/2017,Emart,0,0
03/04/2017,Emart traders,0,0
03/04/2017,Homeplus Express,0,0
03/04/2017,Mega Mart,0,0
03/04/2017,Costco Korea,0,0
03/04/2017,VIC Market,0,0
03/04/2017,Hyundae Department,0,0
03/04/2017,Market 999,0,0
03/04/2017,Homeplus 365,0,0
03/04/2017,Emart24,0,0
03/04/2017,Mini Stop,0,0
03/04/2017,No Brand,0,0
03/04/2017,CU,0,0
03/04/2017,Shinsegae Department,0,0
03/04/2017,Sampling ,0,0
03/04/2017,Loss,0,0
03/04/2017,Wholesale,0,0
03/04/2017,E-commerce,0,0
03/04/2017,Retail,0,0
10/04/2017,Lotte Mart,0,0
10/04/2017,Lotte super,0,0
10/04/2017,Homeplus,0,0
10/04/2017,AK Plaza,0,0
10/04/2017,GS Retail,0,0
10/04/2017,Lotte Department,0,0
10/04/2017,GS25,0,0
10/04/2017,Emart everyday,0,0
10/04/2017,CS Distribution,0,0
10/04/2017,Eland,0,0
10/04/2017,Emart,0,0
10/04/2017,Emart traders,0,0
10/04/2017,Homeplus Express,0,0
10/04/2017,Mega Mart,0,0
10/04/2017,Costco Korea,0,0
10/04/2017,VIC Market,0,0
10/04/2017,Hyundae Department,0,0
10/04/2017,Market 999,0,0
10/04/2017,Homeplus 365,0,0
10/04/2017,Emart24,0,0
10/04/2017,Mini Stop,0,0
10/04/2017,No Brand,0,0
10/04/2017,CU,0,0
10/04/2017,Shinsegae Department,0,0
10/04/2017,Sampling ,0,0
10/04/2017,Loss,0,0
10/04/2017,Wholesale,0,0
10/04/2017,E-commerce,0,0
10/04/2017,Retail,0,0
17/04/2017,Lotte Mart,0,0
17/04/2017,Lotte super,0,0
17/04/2017,Homeplus,0,0
17/04/2017,AK Plaza,0,0
17/04/2017,GS Retail,0,0
17/04/2017,Lotte Department,383,383
17/04/2017,GS25,0,0
17/04/2017,Emart everyday,0,0
17/04/2017,CS Distribution,0,0
17/04/2017,Eland,0,0
17/04/2017,Emart,0,0
17/04/2017,Emart traders,0,0
17/04/2017,Homeplus Express,0,0
17/04/2017,Mega Mart,0,0
17/04/2017,Costco Korea,0,0
17/04/2017,VIC Market,0,0
17/04/2017,Hyundae Department,0,0
17/04/2017,Market 999,0,0
17/04/2017,Homeplus 365,0,0
17/04/2017,Emart24,0,0
17/04/2017,Mini Stop,0,0
17/04/2017,No Brand,0,0
17/04/2017,CU,0,0
17/04/2017,Shinsegae Department,0,0
17/04/2017,Sampling ,4,4
17/04/2017,Loss,0,0
17/04/2017,Wholesale,115880,115880
17/04/2017,E-commerce,5,5
17/04/2017,Retail,383,383
24/04/2017,Lotte Mart,2726.527697,2726.527697
24/04/2017,Lotte super,618.7230321,618.7230321
24/04/2017,Homeplus,7938.906706,7938.906706
24/04/2017,AK Plaza,152,152
24/04/2017,GS Retail,1161,1161
24/04/2017,Lotte Department,283,283
24/04/2017,GS25,0,0
24/04/2017,Emart everyday,2632.858044,2632.858044
24/04/2017,CS Distribution,0,0
24/04/2017,Eland,1298.169096,1298.169096
24/04/2017,Emart,9025.77698,9025.77698
24/04/2017,Emart traders,4775.199306,4775.199306
24/04/2017,Homeplus Express,902.6093294,902.6093294
24/04/2017,Mega Mart,335.5102041,335.5102041
24/04/2017,Costco Korea,7953.6,7953.6
24/04/2017,VIC Market,254,254
24/04/2017,Hyundae Department,1119.172012,1119.172012
24/04/2017,Market 999,6.367346939,6.367346939
24/04/2017,Homeplus 365,0,0
24/04/2017,Emart24,0,0
24/04/2017,Mini Stop,0,0
24/04/2017,No Brand,0,0
24/04/2017,CU,0,0
24/04/2017,Shinsegae Department,0,0
24/04/2017,Sampling ,4,4
24/04/2017,Loss,0,0
24/04/2017,Wholesale,70383.46356,70383.46356
24/04/2017,E-commerce,49,49
24/04/2017,Retail,41183.41975,41183.41975
01/05/2017,Lotte Mart,3193.533528,3193.533528
01/05/2017,Lotte super,4007.364431,4007.364431
01/05/2017,Homeplus,10970.32653,10970.32653
01/05/2017,AK Plaza,245,245
01/05/2017,GS Retail,608,608
01/05/2017,Lotte Department,21,21
01/05/2017,GS25,29,29
01/05/2017,Emart everyday,2084.767259,2084.767259
01/05/2017,CS Distribution,0,0
01/05/2017,Eland,1062.857143,1062.857143
01/05/2017,Emart,12393.00784,12393.00784
01/05/2017,Emart traders,6064.19044,6064.19044
01/05/2017,Homeplus Express,915.6355685,915.6355685
01/05/2017,Mega Mart,368.1632653,368.1632653
01/05/2017,Costco Korea,6468.930909,6468.930909
01/05/2017,VIC Market,86,86
01/05/2017,Hyundae Department,3578.688047,3578.688047
01/05/2017,Market 999,0,0
01/05/2017,Homeplus 365,0,0
01/05/2017,Emart24,0,0
01/05/2017,Mini Stop,0,0
01/05/2017,No Brand,0,0
01/05/2017,CU,0,0
01/05/2017,Shinsegae Department,0,0
01/05/2017,Sampling ,0,0
01/05/2017,Loss,0,0
01/05/2017,Wholesale,72026.78426,72026.78426
01/05/2017,E-commerce,95,95
01/05/2017,Retail,52096.46496,52096.46496
08/05/2017,Lotte Mart,6297.431487,6297.431487
08/05/2017,Lotte super,3713.790087,3713.790087
08/05/2017,Homeplus,11094.29446,11094.29446
08/05/2017,AK Plaza,270,270
08/05/2017,GS Retail,3296,3296
08/05/2017,Lotte Department,462,462
08/05/2017,GS25,68,68
08/05/2017,Emart everyday,1210.611953,1210.611953
08/05/2017,CS Distribution,0,0
08/05/2017,Eland,1428.51312,1428.51312
08/05/2017,Emart,21822.35685,21822.35685
08/05/2017,Emart traders,1754.360641,1754.360641
08/05/2017,Homeplus Express,1556.247813,1556.247813
08/05/2017,Mega Mart,438.3090379,438.3090379
08/05/2017,Costco Korea,6004.014545,6004.014545
08/05/2017,VIC Market,388,388
08/05/2017,Hyundae Department,4080.787172,4080.787172
08/05/2017,Market 999,0,0
08/05/2017,Homeplus 365,0,0
08/05/2017,Emart24,0,0
08/05/2017,Mini Stop,0,0
08/05/2017,No Brand,0,0
08/05/2017,CU,0,0
08/05/2017,Shinsegae Department,0,0
