Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
27/03/2017,Lotte Mart,A,0
27/03/2017,Lotte super,A,0
27/03/2017,Homeplus,A,0
27/03/2017,AK Plaza,A,0
27/03/2017,GS Retail,A,0
27/03/2017,Lotte Department,A,0
27/03/2017,GS25,A,0
27/03/2017,Emart everyday,A,0
27/03/2017,CS Distribution,A,0
27/03/2017,Eland,A,0
27/03/2017,Emart,A,0
27/03/2017,Emart traders,A,0
27/03/2017,Homeplus Express,A,0
27/03/2017,Mega Mart,A,0
27/03/2017,Costco Korea,A,0
27/03/2017,VIC Market,A,0
27/03/2017,Hyundae Department,A,0
27/03/2017,Market 999,A,0
27/03/2017,Homeplus 365,A,0
27/03/2017,Emart24,A,0
27/03/2017,Mini Stop,A,0
27/03/2017,No Brand,A,0
27/03/2017,CU,A,0
27/03/2017,Shinsegae Department,A,0
27/03/2017,Sampling ,A,0
27/03/2017,Loss,A,0
27/03/2017,Wholesale,A,0
27/03/2017,E-commerce,A,0
27/03/2017,Retail,A,0
03/04/2017,Lotte Mart,A,0
03/04/2017,Lotte super,A,0
03/04/2017,Homeplus,A,0
03/04/2017,AK Plaza,A,0
03/04/2017,GS Retail,A,0
03/04/2017,Lotte Department,A,0
03/04/2017,GS25,A,0
03/04/2017,Emart everyday,A,0
03/04/2017,CS Distribution,A,0
03/04/2017,Eland,A,0
03/04/2017,Emart,A,0
03/04/2017,Emart traders,A,0
03/04/2017,Homeplus Express,A,0
03/04/2017,Mega Mart,A,0
03/04/2017,Costco Korea,A,0
03/04/2017,VIC Market,A,0
03/04/2017,Hyundae Department,A,0
03/04/2017,Market 999,A,0
03/04/2017,Homeplus 365,A,0
03/04/2017,Emart24,A,0
03/04/2017,Mini Stop,A,0
03/04/2017,No Brand,A,0
03/04/2017,CU,A,0
03/04/2017,Shinsegae Department,A,0
03/04/2017,Sampling ,A,0
03/04/2017,Loss,A,0
03/04/2017,Wholesale,A,0
03/04/2017,E-commerce,A,0
03/04/2017,Retail,A,0
10/04/2017,Lotte Mart,A,0
10/04/2017,Lotte super,A,0
10/04/2017,Homeplus,A,0
10/04/2017,AK Plaza,A,0
10/04/2017,GS Retail,A,0
10/04/2017,Lotte Department,A,0
10/04/2017,GS25,A,0
10/04/2017,Emart everyday,A,0
10/04/2017,CS Distribution,A,0
10/04/2017,Eland,A,0
10/04/2017,Emart,A,0
10/04/2017,Emart traders,A,0
10/04/2017,Homeplus Express,A,0
10/04/2017,Mega Mart,A,0
10/04/2017,Costco Korea,A,0
10/04/2017,VIC Market,A,0
10/04/2017,Hyundae Department,A,0
10/04/2017,Market 999,A,0
10/04/2017,Homeplus 365,A,0
10/04/2017,Emart24,A,0
10/04/2017,Mini Stop,A,0
10/04/2017,No Brand,A,0
10/04/2017,CU,A,0
10/04/2017,Shinsegae Department,A,0
10/04/2017,Sampling ,A,0
