Time,Retail sales value (Nominal)【billion yen】,vs. YA %
Jan.1980,6396,
Feb.1980,6518,
Mar.1980,7574,
Apr.1980,7557,
May-1980,7240,
Jun.1980,7126,
Jul.1980,7512,
Aug.1980,6852,
Sep.1980,6897,
Oct.1980,7270,
Nov.1980,7408,
Dec.1980,9568,
Jan.1981,6826,
Feb.1981,6662,
Mar.1981,8070,
Apr.1981,7854,
May-1981,7458,
Jun.1981,7359,
Jul.1981,8176,
Aug.1981,7337,
Sep.1981,7331,
Oct.1981,7726,
Nov.1981,7834,
Dec.1981,10216,
Jan.1982,7105,
Feb.1982,6862,
Mar.1982,8285,
Apr.1982,7946,
May-1982,7787,
Jun.1982,7741,
Jul.1982,8149,
Aug.1982,7517,
Sep.1982,7523,
Oct.1982,7963,
Nov.1982,8144,
Dec.1982,10397,
Jan.1983,7401,
Feb.1983,7096,
Mar.1983,8471,
Apr.1983,8330,
May-1983,7991,
Jun.1983,7831,
Jul.1983,8564,
Aug.1983,7945,
Sep.1983,7735,
Oct.1983,8282,
Nov.1983,8357,
Dec.1983,10569,
Jan.1984,7416,
Feb.1984,7373,
Mar.1984,8886,
Apr.1984,8567,
May-1984,8257,
Jun.1984,7971,
Jul.1984,8823,
Aug.1984,7945,
Sep.1984,7948,
Oct.1984,8306,
Nov.1984,8436,
Dec.1984,10986,
Jan.1985,7827,
Feb.1985,7436,
Mar.1985,9121,
Apr.1985,8661,
May-1985,8419,
Jun.1985,8265,
Jul.1985,9299,
Aug.1985,8337,
Sep.1985,8180,
Oct.1985,8717,
Nov.1985,8731,
Dec.1985,11555,
Jan.1986,8053,
Feb.1986,7715,
Mar.1986,9387,
Apr.1986,9141,
May-1986,8565,
Jun.1986,8483,
Jul.1986,9286,
Aug.1986,8587,
Sep.1986,8302,
Oct.1986,8850,
Nov.1986,8769,
Dec.1986,11491,
Jan.1987,8368,
Feb.1987,7912,
Mar.1987,9599,
Apr.1987,9443,
May-1987,9135,
Jun.1987,8960,
Jul.1987,9797,
Aug.1987,8961,
Sep.1987,8956,
Oct.1987,9341,
Nov.1987,9441,
Dec.1987,12340,
Jan.1988,8709,
Feb.1988,8652,
Mar.1988,10279,
Apr.1988,9881,
May-1988,9524,
Jun.1988,9524,
Jul.1988,10421,
Aug.1988,9307,
Sep.1988,9267,
Oct.1988,9859,
Nov.1988,9984,
Dec.1988,12948,
Jan.1989,9145,
Feb.1989,8891,
Mar.1989,11625,
Apr.1989,10298,
May-1989,10146,
Jun.1989,10077,
Jul.1989,11230,
Aug.1989,10027,
Sep.1989,10008,
Oct.1989,10808,
Nov.1989,10835,
Dec.1989,14219,
Jan.1990,10132,
Feb.1990,9798,
Mar.1990,12084,
Apr.1990,11518,
May-1990,11042,
Jun.1990,11147,
Jul.1990,12200,
Aug.1990,10854,
Sep.1990,10819,
Oct.1990,11628,
Nov.1990,11609,
Dec.1990,15114,
Jan.1991,10896,
Feb.1991,10375,
Mar.1991,12833,
Apr.1991,12207,
May-1991,11838,
Jun.1991,11919,
Jul.1991,13024,
Aug.1991,11515,
Sep.1991,11347,
Oct.1991,12110,
Nov.1991,12152,
Dec.1991,15492,
Jan.1992,11381,
Feb.1992,10860,
Mar.1992,12797,
Apr.1992,12503,
May-1992,11942,
Jun.1992,11969,
Jul.1992,13102,
Aug.1992,11451,
Sep.1992,11357,
Oct.1992,11874,
Nov.1992,11735,
Dec.1992,15199,
Jan.1993,11078,
Feb.1993,10570,
Mar.1993,12723,
Apr.1993,12216,
May-1993,11610,
Jun.1993,11692,
Jul.1993,12705,
Aug.1993,11275,
Sep.1993,11282,
Oct.1993,11779,
Nov.1993,11616,
Dec.1993,14783,
Jan.1994,11224,
Feb.1994,10485,
Mar.1994,12735,
Apr.1994,12062,
May-1994,11630,
Jun.1994,11750,
Jul.1994,13137,
Aug.1994,11628,
Sep.1994,11417,
Oct.1994,11862,
Nov.1994,11856,
Dec.1994,15056,
Jan.1995,11215,
Feb.1995,10661,
Mar.1995,12846,
Apr.1995,12093,
May-1995,11668,
Jun.1995,11802,
Jul.1995,12903,
Aug.1995,11546,
Sep.1995,11461,
Oct.1995,11778,
Nov.1995,11858,
Dec.1995,14980,
Jan.1996,11378,
Feb.1996,11053,
Mar.1996,12995,
Apr.1996,12213,
May-1996,11778,
Jun.1996,11837,
Jul.1996,12805,
Aug.1996,11456,
Sep.1996,11510,
Oct.1996,12015,
Nov.1996,12200,
Dec.1996,15064,
Jan.1997,11614,
Feb.1997,11261,
Mar.1997,14611,
Apr.1997,11753,
May-1997,11619,
Jun.1997,11586,
Jul.1997,12520,
Aug.1997,11381,
Sep.1997,11208,
Oct.1997,11850,
Nov.1997,11574,
Dec.1997,14324,
Jan.1998,11211,
Feb.1998,10424,
Mar.1998,12518,
Apr.1998,12247,
May-1998,11927,
Jun.1998,11716,
Jul.1998,12646,
Aug.1998,11447,
Sep.1998,11313,
Oct.1998,11735,
Nov.1998,11887,
Dec.1998,14423,
Jan.1999,11142,
Feb.1999,10612,
Mar.1999,12739,
Apr.1999,11966,
May-1999,11507,
Jun.1999,11458,
Jul.1999,12312,
Aug.1999,11252,
Sep.1999,11102,
Oct.1999,11690,
Nov.1999,11529,
Dec.1999,14219,
Jan.2000,10957,
Feb.2000,10622,
Mar.2000,12316,
Apr.2000,11566,
May-2000,11238,
Jun.2000,11357,
Jul.2000,12268,
Aug.2000,11153,
Sep.2000,10968,
Oct.2000,11445,
Nov.2000,11433,
Dec.2000,14111,
Jan.2001,11107,
Feb.2001,10572,
Mar.2001,12525,
Apr.2001,11430,
May-2001,11096,
Jun.2001,11120,
Jul.2001,11955,
Aug.2001,10772,
Sep.2001,10735,
Oct.2001,10954,
Nov.2001,11161,
Dec.2001,13381,
Jan.2002,10645,
Feb.2002,9945,
Mar.2002,11914,
Apr.2002,10964,
May-2002,10782,
Jun.2002,10770,
Jul.2002,11342,
Aug.2002,10600,
Sep.2002,10493,
Oct.2002,10720,
Nov.2002,11023,
Dec.2002,13083,
Jan.2003,10508,
Feb.2003,10042,
Mar.2003,11963,
Apr.2003,10841,
May-2003,10746,
Jun.2003,10758,
Jul.2003,11259,
Aug.2003,10618,
Sep.2003,10524,
Oct.2003,10982,
Nov.2003,10905,
Dec.2003,13301,
Jan.2004,10853,
Feb.2004,10456,
