dateKey,country_code,measure,value,units
20200101,AU,Stringency of Measures,2.508709677419355,Index
20200201,AU,Stringency of Measures,19.440000000000005,Index
20200301,AU,Stringency of Measures,38.20032258064516,Index
20200401,AU,Stringency of Measures,71.48066666666668,Index
20200501,AU,Stringency of Measures,67.35225806451615,Index
20200601,AU,Stringency of Measures,55.01433333333333,Index
20200701,AU,Stringency of Measures,69.81935483870967,Index
20200801,AU,Stringency of Measures,75.10193548387099,Index
20200901,AU,Stringency of Measures,74.72000000000001,Index
20201001,AU,Stringency of Measures,65.6696774193548,Index
20201101,AU,Stringency of Measures,52.76066666666667,Index
20201201,AU,Stringency of Measures,65.99322580645158,Index
20210101,AU,Stringency of Measures,60.67516129032255,Index
20210201,AU,Stringency of Measures,59.65678571428572,Index
20200101,JP,Stringency of Measures,2.2419354838709684,Index
20200201,JP,Stringency of Measures,21.804482758620686,Index
20200301,JP,Stringency of Measures,41.15870967741936,Index
20200401,JP,Stringency of Measures,45.73966666666668,Index
20200501,JP,Stringency of Measures,41.90451612903227,Index
20200601,JP,Stringency of Measures,27.77666666666665,Index
20200701,JP,Stringency of Measures,27.990322580645152,Index
20200801,JP,Stringency of Measures,32.70838709677417,Index
20200901,JP,Stringency of Measures,33.058666666666674,Index
20201001,JP,Stringency of Measures,33.03774193548389,Index
20201101,JP,Stringency of Measures,36.66999999999999,Index
20201201,JP,Stringency of Measures,46.894516129032276,Index
20210101,JP,Stringency of Measures,49.3606451612903,Index
20210201,JP,Stringency of Measures,46.92642857142859,Index
20200101,KR,Stringency of Measures,0.08967741935483871,Index
20200201,KR,Stringency of Measures,36.55827586206896,Index
20200301,KR,Stringency of Measures,62.57870967741936,Index
20200401,KR,Stringency of Measures,66.63766666666668,Index
20200501,KR,Stringency of Measures,43.56258064516126,Index
20200601,KR,Stringency of Measures,53.671666666666674,Index
20200701,KR,Stringency of Measures,47.20806451612904,Index
20200801,KR,Stringency of Measures,47.774516129032264,Index
20200901,KR,Stringency of Measures,51.03200000000001,Index
20201001,KR,Stringency of Measures,52.55322580645163,Index
20201101,KR,Stringency of Measures,45.15100000000003,Index
20201201,KR,Stringency of Measures,58.37548387096776,Index
20210101,KR,Stringency of Measures,64.56129032258069,Index
20210201,KR,Stringency of Measures,59.3264285714286,Index
20200101,SG,Stringency of Measures,20.606451612903225,Index
20200201,SG,Stringency of Measures,29.409655172413775,Index
20200301,SG,Stringency of Measures,33.96161290322581,Index
20200401,SG,Stringency of Measures,69.25766666666664,Index
20200501,SG,Stringency of Measures,74.46290322580651,Index
20200601,SG,Stringency of Measures,60.063000000000024,Index
20200701,SG,Stringency of Measures,50.93000000000001,Index
20200801,SG,Stringency of Measures,50.93000000000001,Index
20200901,SG,Stringency of Measures,50.93,Index
20201001,SG,Stringency of Measures,45.36999999999997,Index
20201101,SG,Stringency of Measures,45.369999999999976,Index
20201201,SG,Stringency of Measures,47.880967741935464,Index
20210101,SG,Stringency of Measures,48.419032258064526,Index
20210201,SG,Stringency of Measures,47.29214285714285,Index
20200101,VN,Stringency of Measures,2.7783870967741935,Index
20200201,VN,Stringency of Measures,40.866896551724146,Index
20200301,VN,Stringency of Measures,53.49290322580645,Index
20200401,VN,Stringency of Measures,88.81400000000001,Index
20200501,VN,Stringency of Measures,71.4735483870968,Index
20200601,VN,Stringency of Measures,63.33099999999998,Index
20200701,VN,Stringency of Measures,58.54580645161288,Index
20200801,VN,Stringency of Measures,77.25354838709674,Index
20200901,VN,Stringency of Measures,72.17833333333333,Index
20201001,VN,Stringency of Measures,55.55999999999997,Index
20201101,VN,Stringency of Measures,45.61999999999999,Index
20201201,VN,Stringency of Measures,53.4764516129032,Index
20210101,VN,Stringency of Measures,58.45096774193548,Index
20210201,VN,Stringency of Measures,40.838928571428575,Index
